	GSM1074947_APPLY_p_Hulin_58_430A_Mouse430A_2_A01_528242.EXPRESSION	GSM1074948_APPLY_p_Hulin_58_430A_Mouse430A_2_A02_528130.EXPRESSION	GSM1074949_APPLY_p_Hulin_58_430A_Mouse430A_2_A03_528272.EXPRESSION	GSM1074950_APPLY_p_Hulin_58_430A_Mouse430A_2_A04_528190.EXPRESSION	GSM1074951_APPLY_p_Hulin_58_430A_Mouse430A_2_A05_528142.EXPRESSION	GSM1074952_APPLY_p_Hulin_58_430A_Mouse430A_2_A06_528174.EXPRESSION	GSM1074953_APPLY_p_Hulin_58_430A_Mouse430A_2_A07_528222.EXPRESSION	GSM1074954_APPLY_p_Hulin_58_430A_Mouse430A_2_A08_528264.EXPRESSION	GSM1074955_APPLY_p_Hulin_58_430A_Mouse430A_2_A09_528228.EXPRESSION	GSM1074956_APPLY_p_Hulin_58_430A_Mouse430A_2_A10_528122.EXPRESSION	GSM1074957_APPLY_p_Hulin_58_430A_Mouse430A_2_A11_528118.EXPRESSION	GSM1074958_APPLY_p_Hulin_58_430A_Mouse430A_2_A12_528294.EXPRESSION	GSM1074959_APPLY_p_Hulin_58_430A_Mouse430A_2_B01_528198.EXPRESSION	GSM1074960_APPLY_p_Hulin_58_430A_Mouse430A_2_B02_528162.EXPRESSION	GSM1074961_APPLY_p_Hulin_58_430A_Mouse430A_2_B03_528172.EXPRESSION	GSM1074962_APPLY_p_Hulin_58_430A_Mouse430A_2_B04_528232.EXPRESSION	GSM1074963_APPLY_p_Hulin_58_430A_Mouse430A_2_B05_528290.EXPRESSION	GSM1074964_APPLY_p_Hulin_58_430A_Mouse430A_2_B06_528150.EXPRESSION	GSM1074965_APPLY_p_Hulin_58_430A_Mouse430A_2_B07_528284.EXPRESSION	GSM1074966_APPLY_p_Hulin_58_430A_Mouse430A_2_B08_528244.EXPRESSION	GSM1074967_APPLY_p_Hulin_58_430A_Mouse430A_2_B09_528186.EXPRESSION	GSM1074968_APPLY_p_Hulin_58_430A_Mouse430A_2_B10_528194.EXPRESSION	GSM1074969_APPLY_p_Hulin_58_430A_Mouse430A_2_B11_528262.EXPRESSION	GSM1074970_APPLY_p_Hulin_58_430A_Mouse430A_2_B12_528132.EXPRESSION	GSM1074971_APPLY_p_Hulin_58_430A_Mouse430A_2_C01_528304.EXPRESSION	GSM1074972_APPLY_p_Hulin_58_430A_Mouse430A_2_C02_528216.EXPRESSION	GSM1074973_APPLY_p_Hulin_58_430A_Mouse430A_2_C03_528184.EXPRESSION	GSM1074974_APPLY_p_Hulin_58_430A_Mouse430A_2_C04_528282.EXPRESSION	GSM1074975_APPLY_p_Hulin_58_430A_Mouse430A_2_C05_528136.EXPRESSION	GSM1074976_APPLY_p_Hulin_58_430A_Mouse430A_2_C06_528296.EXPRESSION	GSM1074977_APPLY_p_Hulin_58_430A_Mouse430A_2_C07_528298.EXPRESSION	GSM1074978_APPLY_p_Hulin_58_430A_Mouse430A_2_C08_528280.EXPRESSION	GSM1074979_APPLY_p_Hulin_58_430A_Mouse430A_2_C09_528286.EXPRESSION	GSM1074980_APPLY_p_Hulin_58_430A_Mouse430A_2_C10_528210.EXPRESSION	GSM1074981_APPLY_p_Hulin_58_430A_Mouse430A_2_C11_528134.EXPRESSION	GSM1074982_APPLY_p_Hulin_58_430A_Mouse430A_2_C12_528212.EXPRESSION	GSM1074983_APPLY_p_Hulin_58_430A_Mouse430A_2_D01_528268.EXPRESSION	GSM1074984_APPLY_p_Hulin_58_430A_Mouse430A_2_D02_528182.EXPRESSION	GSM1074985_APPLY_p_Hulin_58_430A_Mouse430A_2_D03_528274.EXPRESSION	GSM1074986_APPLY_p_Hulin_58_430A_Mouse430A_2_D04_528204.EXPRESSION	GSM1074987_APPLY_p_Hulin_58_430A_Mouse430A_2_D05_528252.EXPRESSION	GSM1074988_APPLY_p_Hulin_58_430A_Mouse430A_2_D06_528278.EXPRESSION	GSM1074989_APPLY_p_Hulin_58_430A_Mouse430A_2_D07_528152.EXPRESSION	GSM1074990_APPLY_p_Hulin_58_430A_Mouse430A_2_D08_528188.EXPRESSION	GSM1074991_APPLY_p_Hulin_58_430A_Mouse430A_2_D09_528292.EXPRESSION	GSM1074992_APPLY_p_Hulin_58_430A_Mouse430A_2_D10_528250.EXPRESSION	GSM1074993_APPLY_p_Hulin_58_430A_Mouse430A_2_D11_528164.EXPRESSION	GSM1074994_APPLY_p_Hulin_58_430A_Mouse430A_2_D12_528160.EXPRESSION	GSM1074995_APPLY_p_Hulin_58_430A_Mouse430A_2_E01_528176.EXPRESSION	GSM1074996_APPLY_p_Hulin_58_430A_Mouse430A_2_E02_528206.EXPRESSION	GSM1074997_APPLY_p_Hulin_58_430A_Mouse430A_2_E03_528124.EXPRESSION	GSM1074998_APPLY_p_Hulin_58_430A_Mouse430A_2_E04_528254.EXPRESSION	GSM1074999_APPLY_p_Hulin_58_430A_Mouse430A_2_E05_528128.EXPRESSION	GSM1075000_APPLY_p_Hulin_58_430A_Mouse430A_2_E06_528276.EXPRESSION	GSM1075001_APPLY_p_Hulin_58_430A_Mouse430A_2_E07_528166.EXPRESSION	GSM1075002_APPLY_p_Hulin_58_430A_Mouse430A_2_E08_528126.EXPRESSION	GSM1075003_APPLY_p_Hulin_58_430A_Mouse430A_2_E09_528236.EXPRESSION	GSM1075004_APPLY_p_Hulin_58_430A_Mouse430A_2_E10_528246.EXPRESSION
Bmpr1a	5.492225065	5.724395408	5.646359023	5.668696182	5.45451158	5.794827326	5.721123865	5.080577158	5.0856237	5.255491565	5.376079235	5.280503968	5.328995551	5.695463924	5.734860366	5.498722624	6.088023142	5.752212291	5.428556576	5.260565902	5.450634717	5.919563374	5.509047356	5.520457034	5.112230559	5.627840629	5.21031609	5.448283655	5.446835974	5.712417882	6.17626725	6.655142109	6.425535396	7.109140513	6.758894312	7.6331103	6.39798457	6.972914163	7.150608447	7.650489779	5.388049665	5.395178181	5.254763047	5.495468976	5.318442271	5.438696256	5.415116437	5.763905576	5.407652631	5.107170516	5.217886461	5.268751973	5.439278602	6.056668069	6.775432407	7.067608789	6.699254074	7.094199403
Bmyc	7.770417303	7.223114619	7.012850488	7.495016725	8.284213166	8.622410095	8.46530539	8.753437968	8.440481248	8.637684747	8.564288403	8.370086072	8.446305884	8.830647348	8.914387182	8.808173873	8.825693048	9.508617174	7.577401499	6.895460907	6.381900468	7.633615925	8.356158158	8.431986679	8.436347435	8.599843512	8.480606755	8.584983537	8.394416144	8.158384962	8.168620075	8.412713059	8.407866016	8.427388542	8.159168307	8.562636532	8.254634929	8.404716411	8.239033664	8.71752133	7.146174927	7.535730677	8.499600898	8.9795642	8.63526128	8.466212698	8.748507475	8.765124529	7.046901533	7.345170851	8.377279247	8.736023016	8.295009705	8.048396655	8.279398125	8.113384693	8.28038333	8.19534673
Bnip3	5.998765347	5.633154468	5.587165943	5.363017583	5.338274901	5.926047945	6.065717329	6.121641455	6.237679847	6.803614504	6.808610429	6.959029522	7.273097782	8.290330222	8.231525496	8.574713369	7.527133019	8.071364816	6.446315015	5.773992882	5.90265494	5.710978955	5.781012635	6.367513818	6.730127525	6.784138639	6.558532299	7.461955221	7.235193469	7.123583159	7.596855329	10.18062551	9.359376982	10.23343218	8.57874175	11.85682842	9.295912509	10.17267845	9.18926728	11.88415633	6.022228008	6.131683547	6.355757153	6.907211332	6.837760195	6.970734392	7.886730391	8.153326517	6.238247649	5.818847979	6.878565255	7.293203056	7.225288207	7.101879409	8.942161243	8.668929344	8.994983373	9.333829776
Bpnt1	6.983904147	7.729951429	6.97700798	6.084912117	6.538356705	6.451974348	7.223363944	7.686523179	7.567355379	7.888846251	8.175614091	7.798580082	7.868400006	8.243463961	7.753841328	7.712172218	8.058127697	7.758302284	6.971475021	6.78114232	6.644755489	6.044535678	6.600864728	6.71235177	7.316654736	7.77680145	7.429424679	8.017765342	8.016110708	8.011315814	7.918593832	7.469305124	7.716747219	7.488175147	8.040393673	7.151462458	7.748240288	7.314530579	8.31959574	7.562477155	7.543275464	6.119659581	7.227256392	7.85517838	7.817879494	7.942398293	8.054539241	8.030659391	7.394949431	6.217391297	7.233429147	7.704105679	7.916168154	7.520012575	7.978804804	8.312726218	7.962940317	8.096503459
Brd3	7.819092142	7.426568815	8.135039819	8.230555661	8.660236839	8.733736754	8.424909696	8.531880104	8.353212377	8.460794141	8.738717597	8.633453349	8.526291544	8.493525291	8.579339362	8.430409644	8.54516441	8.471108856	7.64496917	7.454209001	7.782446192	8.419830599	8.548816501	8.663826645	8.312625401	8.5514085	8.374115723	8.536837571	8.532653033	8.410619222	8.386810666	8.24748984	8.228894851	8.127291612	8.280947852	8.10529258	8.283720533	8.25205074	8.127699663	8.136356932	7.148645771	8.376806698	8.387534065	8.646498412	8.594967435	8.364015291	8.514043267	8.412936136	7.422214009	8.388373917	8.439932495	8.620062899	8.632690974	8.161556313	8.140499278	8.294483964	8.07925954	8.083344769
Bzw2	10.82425492	11.22985261	10.95080824	11.31876992	11.92560991	11.86215069	11.67291237	11.86248153	11.83714259	11.74252664	11.82554078	11.88539773	11.75887762	11.77730243	11.64565004	11.67828438	11.5513181	11.62616309	10.74459281	11.13617999	10.65955503	11.2809621	11.63008274	11.39044025	11.22511905	11.40468885	11.34206917	11.52331065	11.29589167	11.01986759	10.91134952	10.64710998	10.74278736	10.53986713	10.63420472	9.8650117	10.80321979	10.65390268	10.67426676	10.27735063	11.07937868	11.26516348	11.71634994	11.9004011	11.6589341	11.55622583	11.64888991	11.66438084	10.96235354	11.23437717	11.31064423	11.47389696	11.04704198	10.85727736	10.73303826	10.49126913	10.69763561	10.5631268
Calcrl	8.621793122	8.989878718	7.716252539	6.599779514	5.711911975	5.424026931	5.669336162	6.241797526	6.123895404	6.661788633	6.769026787	6.616211792	6.327646082	6.516732993	7.005203984	7.073462705	6.779649401	6.092005618	8.924398828	9.211449325	7.682357563	6.426018618	5.420214705	5.472329869	6.223860485	6.789716231	7.306226668	6.902118149	6.915553578	6.745723749	7.787092689	8.076986204	7.899519153	7.997146526	7.37865898	8.398206814	8.029266243	7.761612586	6.944194945	6.856343304	8.962872685	6.138630712	5.810743991	6.926023676	6.73422349	6.731215267	6.640616842	6.48212308	9.050548477	5.962985395	6.032253958	7.392592661	6.625829532	7.112558978	7.527061022	7.703537004	7.791839449	7.48883719
Capg	7.880510735	7.561003042	7.4543558	8.009279222	8.092521276	7.59296198	8.609476461	8.122427589	9.169241132	9.46163112	9.412474559	8.840496594	9.032361876	9.070422806	8.973478955	9.06010544	9.850297194	10.40232304	7.751638972	7.502163231	7.165531066	8.052438153	9.258125504	9.930537809	10.70396548	11.09533334	11.25086696	11.05633103	11.25688458	11.13452904	11.20614924	11.10326427	11.04071575	10.9884429	11.46569333	11.38328608	10.9971531	10.90876714	11.31902785	11.25687546	7.526895921	8.248037258	8.864165247	9.210319756	9.379703531	9.81537542	9.223574076	9.615760216	7.551419413	8.061381828	10.89758389	11.17336348	11.2307718	11.46598376	11.24372164	11.51476835	11.20502849	11.33184574
Capn2	9.354747428	8.685051478	7.415637871	5.965119619	5.580786112	5.299565233	5.569348227	6.155542164	6.710874803	7.864956582	7.966828552	7.861113267	7.587866294	7.810802702	7.618495361	7.857267872	7.4944375	8.057750763	9.056820748	8.499866518	8.005534061	6.362179324	5.650451179	5.895027984	6.15451378	6.7134208	6.372926207	7.439074105	7.760671537	8.37890242	8.416209579	8.602341695	8.56716429	8.754224605	8.703928178	9.318780428	8.485054017	8.704859061	8.533157038	9.030176084	8.791067672	6.779633352	5.545177344	7.753995758	8.150140542	8.214825307	7.914388097	7.843641545	8.873571916	6.657365232	5.742208414	7.248608473	8.483379914	8.566118385	8.906181869	8.95311491	8.837020983	8.791624927
Casp3	7.700450415	8.194005417	8.709919973	8.50075086	7.764194577	7.855832664	8.395903921	8.184570529	8.535687633	9.29700161	9.714407521	9.661939682	9.783137876	9.836726175	9.831288493	9.961381505	9.662723323	9.81158653	8.074872139	8.453221628	8.173741477	8.016982105	7.183235973	7.31305231	7.852613885	7.570746216	7.50242201	7.795837276	7.933173607	8.207372843	8.523102274	8.84693833	8.733052739	9.084094224	8.522282822	9.572366371	8.703698253	8.880705613	7.973566415	8.800281741	8.366749897	8.324192129	8.181693756	9.305833892	9.727779723	9.51320352	9.77875333	9.844348973	8.473000188	7.656873958	7.554038466	7.777243491	8.226762461	8.270974068	8.654300081	8.551660939	8.399681548	8.099027584
Casp6	8.50835087	8.032354919	7.939806787	7.670778928	7.330588979	7.023263229	7.210536451	6.566991352	6.678909894	7.200988987	7.315526736	7.659579023	7.546608497	7.88119659	7.537170942	7.905280041	7.526085362	7.723547069	8.396192722	8.031972018	8.089407707	9.049758632	8.847935687	8.376407842	8.642988654	7.837457823	7.658532148	7.805861981	8.212275668	7.879891484	9.05639268	8.764967461	9.016372137	8.864260796	9.979568841	10.47516497	9.291874942	9.56355048	10.73713639	11.33279807	7.982542209	7.719380582	7.246296117	7.436454953	7.676047184	7.518133346	7.693602183	7.687455277	8.205744265	9.008306625	8.474793775	7.976917114	7.875853204	9.041495491	9.318521097	9.592744368	9.811192482	10.74833827
Cbx4	12.10469316	11.31502603	10.69938647	9.344880127	8.725833661	8.793637089	8.617127335	8.783999716	8.77880892	9.406935043	9.17748076	9.456032825	9.162078754	9.245384367	9.536545961	9.442439733	8.885692092	9.465608014	12.24898939	11.45613523	11.61497305	10.24144875	8.946380246	8.485199069	8.136764857	8.158785672	8.251689354	8.83681489	8.595972425	8.732500661	8.502284624	8.862019006	8.783334358	8.946045893	8.78725322	9.299054338	8.53436542	8.767494908	8.519665539	8.910943314	11.66077362	9.249475866	8.723051258	9.335827548	9.530028056	9.375164536	9.354918571	9.554077673	11.69039765	10.09581077	8.13594247	8.692990203	8.631913245	8.558067446	8.832214024	8.950018887	8.720722709	8.615675475
Ccbl2	5.131601514	6.027456824	5.4000623	5.950231215	6.265685384	6.964846227	6.938150793	7.686057134	8.046811556	8.289665342	8.433979692	8.334688912	8.399942514	8.501165692	8.23864951	8.19627724	8.403893775	8.071466818	5.350548282	6.286879777	5.839629489	5.804495821	5.879704386	6.51424276	6.615197225	7.728439662	7.467259728	7.806061616	7.628319981	7.376820945	7.490252101	7.524660535	7.720264143	7.530159907	7.686913254	7.108476877	7.637655336	7.407735225	7.76626308	7.481016726	5.203617451	5.446818621	7.021686414	8.554071772	7.969327637	7.891242317	8.187690104	8.148560359	5.748669299	5.057093517	6.445741531	8.065489574	7.383028284	7.046052165	7.50533407	7.374718191	7.558033839	7.631507239
Ccdc50	5.0113224	5.388049665	5.576186814	6.323885117	7.441491338	8.073772484	8.407001711	9.197928134	9.309032263	9.221646225	9.429408948	9.762226534	10.17295771	10.10425074	9.993257962	9.983717515	10.33199638	9.891310196	5.463718578	6.108929413	5.801747811	6.371424823	7.184831288	7.607980486	8.055868454	9.077813025	8.990163832	8.737180596	8.698669991	8.895359186	9.550222504	9.271340843	9.344078011	9.250050006	9.247259616	9.139503658	9.249402815	9.182115534	8.906972953	8.498883179	4.847094584	6.354114189	8.456652317	9.603863397	9.815270615	10.0257507	9.972693284	10.00156248	5.371085782	6.283845485	8.174188234	8.766512041	8.698020544	9.363024767	9.343639864	9.351078171	9.179832182	8.854930614
Ccdc92	7.260435256	7.157323879	6.826008344	6.59277539	6.656426064	7.092074141	6.553005509	6.796079025	6.706520494	6.667722698	6.933355146	6.624030618	6.957755655	6.771414808	6.797531549	6.973112161	7.020303803	7.310991692	7.19437188	7.23958084	7.341199997	6.634492336	6.429492451	6.320739999	6.640658753	6.657160771	6.874497648	7.035873876	6.877767853	6.951179084	7.13664762	7.317250616	7.252034522	7.418384955	7.628734633	7.541933282	7.186911454	7.472955302	7.765573509	7.741772717	7.542280688	6.755416523	6.79027846	6.972464704	6.837048821	6.98050342	6.61117822	6.909965249	7.104829758	6.760716693	6.57187309	6.671533344	7.031267832	7.419672243	7.312835202	7.856899703	7.405900617	7.478441111
Ccl1	4.723248324	4.972481989	5.844839801	8.648653072	9.604825358	9.837172888	8.737532551	8.336524898	8.566967014	7.799230876	7.755761692	7.296819179	9.362820035	9.293168155	8.153073707	9.032053904	10.65738364	11.62122321	4.930136765	4.321928095	5.48670131	7.064325705	7.529064116	7.95903225	7.10081059	6.300873907	6.493391149	5.783932625	5.59499084	5.058978087	4.768745875	4.709708586	4.501943526	4.844699661	4.766250108	4.507036747	4.321928095	4.844196077	4.909379856	4.502110223	4.814157676	8.121018408	8.981438641	8.443111036	7.824372008	10.30639293	10.60856659	11.28690985	4.596526095	6.534464053	6.817075985	6.701922362	4.785990425	5.384642863	4.694275688	4.791335169	5.187545666	4.937641931
Ccl20	5.242585473	5.134816398	5.744916709	5.97536308	5.827238302	5.542731521	5.477061578	5.021700253	5.412578879	5.328099569	5.900199634	5.390858296	6.960825962	6.880329352	8.218129925	7.078842782	9.151660644	9.460513506	5.211767153	5.354680176	5.601217928	5.112064077	5.634854821	5.784974161	5.184932445	5.635933969	6.043255863	6.326136084	8.128657185	9.748606341	11.71757603	11.20349261	11.70248656	11.15614875	12.40192173	11.43592628	11.7021418	10.33050489	11.23092996	10.46064987	5.147970683	6.104586388	5.604828405	5.495872562	5.250720823	6.953578055	7.872404236	8.434029942	4.683728716	5.373848761	4.863027583	6.435067367	9.469085711	11.41741031	11.6115623	11.92612545	11.07389177	11.16247352
Ccl3	4.321928095	4.321928095	5.389243062	7.933501872	8.681479097	9.620129338	8.843242008	9.880364803	10.12580839	9.074616455	10.99406588	11.37266915	12.29520241	12.01291826	12.57620096	11.6353491	12.68692309	11.59596343	4.321928095	4.321928095	5.024636853	7.323656782	7.584645455	7.677114442	6.546065353	6.999587541	6.177691397	4.424083453	5.398964929	6.028803366	8.407241865	8.749758658	8.911280585	8.91937289	8.704825359	7.443653117	9.187199484	9.224680706	9.266453071	7.626870207	4.321928095	7.798361817	9.360795512	9.988167235	10.81601406	11.96863777	11.9540037	11.93946981	4.321928095	7.139184119	6.532077598	5.885507979	5.876157266	7.709223764	8.590313043	8.249633149	8.959244514	9.044955494
Ccl4	5.632747028	5.548916175	8.807156038	11.17275763	11.54158475	12.10294631	11.51141237	11.77276155	11.43008468	10.37558243	11.849313	11.91064594	12.20514873	11.89468227	12.23291593	11.24954953	12.37695463	11.41031314	5.910700715	6.248945979	9.098929897	11.19358906	10.79795636	10.52175308	10.14898199	9.649756786	8.650969915	6.886518704	7.752422377	7.416355806	9.028521454	9.166949224	9.356280971	9.277925389	9.367789821	7.969212829	9.760512257	9.642267237	9.936062179	8.850725445	5.315450159	11.15070332	11.67802327	10.96504308	11.49683109	11.80107304	11.75894902	11.81975065	5.697455329	10.97082002	9.968914653	8.171779161	7.854495306	8.855831198	9.100003762	9.006567713	9.558579406	9.739567869
Ccl5	6.169897707	6.086342951	6.923995459	7.10098626	6.546641097	7.17835153	6.812435967	5.10699974	5.308004802	4.988486267	5.174314297	6.078059933	5.831476095	6.045060057	6.448101284	6.77603469	5.792797919	6.456106015	6.496765674	7.243921242	7.178925013	7.310129932	6.66433562	7.328592218	6.405627771	5.366826645	5.324827785	4.665823573	4.520164682	4.585490158	4.834960009	4.816336878	4.530080556	4.799723099	4.401127833	5.333595255	4.380434511	4.816953746	4.428396697	4.96561138	6.269877068	6.754523286	6.424660541	4.952241335	5.62866409	5.39476445	6.130937839	6.016027961	6.469909198	6.682155399	6.319894699	5.313678677	4.321928095	4.698829498	4.59031491	4.366723856	4.414421109	4.321928095
Ccnd3	9.98912321	9.47195233	8.763335353	7.435690803	7.415168392	7.633774584	7.707621585	8.54670221	8.951884276	9.646561253	10.21735552	10.23778561	10.34784036	10.36232442	10.20369844	10.02498599	10.16779721	10.11522038	9.815669108	9.20204285	8.200060635	7.339534061	7.459863905	8.005460589	8.009725503	8.633178471	8.910590803	9.689091819	10.12449028	10.53854164	10.72167257	10.82456069	10.71917046	10.77975422	10.66695153	10.86361388	10.68674077	10.76839577	10.44983205	10.67829534	9.490006254	8.174790628	7.997171177	9.820959694	10.26752316	10.18171782	10.07759037	10.18595047	9.41604833	7.514637175	7.776752654	9.718694358	10.47206235	10.48784573	10.73047168	10.73684946	10.71325197	10.55680198
Ccng1	9.925026801	9.442340746	9.532578638	9.702797196	10.35507484	10.99757877	11.66454579	10.79499784	10.32582977	10.25235425	10.56214379	10.84706916	10.88444337	11.02651003	10.91847936	11.60497868	11.88383421	11.74653858	10.14579361	9.494494037	9.301528926	9.481900962	10.38469851	10.911672	11.93990162	10.85130569	10.36990687	10.55327274	10.57109933	11.28972103	10.60413111	10.03194876	10.26825525	10.18694907	11.25329209	10.91796557	10.43250013	10.07131478	11.28637915	10.44567684	9.846338969	9.650139841	11.54712654	10.12183778	11.00370134	11.03076709	11.37509486	11.79826871	9.711303535	9.757169008	11.64335017	9.989273886	11.42605552	10.66887639	10.55905054	11.13905773	10.57249425	11.18329437
Ccng2	10.55602565	11.45515867	11.1890969	8.603216568	7.362437712	6.713466297	6.428906028	6.569835208	6.210503422	7.113868608	7.149211653	7.605218577	7.838512849	8.131916937	8.362905744	8.545657797	8.319361799	8.542335297	10.64853042	11.02394356	10.80189019	8.514470467	7.454451282	6.617238018	6.537953146	6.727085143	6.06821369	6.613431428	6.645655099	7.511773492	7.660723896	9.131457642	8.548395539	9.485152997	8.674446602	10.53264879	8.049810611	9.295350094	8.841334256	10.43768783	11.6846202	8.836263624	6.707718564	6.427113878	7.94707172	7.66725908	8.194372463	8.285342157	11.09501616	8.507698184	6.690696992	6.189851497	7.867868389	7.651049268	8.455614983	8.601861611	8.374075756	8.771717901
Ccr7	12.74894551	12.93995388	12.07119121	10.2461837	10.3339749	11.15936835	11.10612918	11.84759966	11.36234648	11.69739083	10.95581217	10.56157683	10.31805952	10.8083431	11.18319062	11.43764982	10.98671667	12.01584201	12.67641346	12.5777379	11.63510426	10.0239163	10.01419477	10.47207661	10.76377969	11.27074731	10.94122226	11.32066889	10.79695644	10.50780045	10.09026715	10.30361677	10.10696555	10.45518659	10.18478458	10.72965151	10.01552472	10.51148156	10.26114506	10.47583064	12.93126112	10.16235453	10.94423582	11.65903965	10.9730603	10.51144578	11.05108208	11.47274343	12.59324602	10.16501523	10.62363635	11.17415591	10.77046516	10.26267575	10.45003175	10.52167725	10.40458761	10.48319759
Ccr8	4.321928095	5.809202207	7.271122998	8.09525319	8.581123706	7.842991678	7.027787188	6.51178082	6.033882816	6.564063481	6.842783485	6.520657989	6.521648087	6.551546386	6.091403686	6.843843691	6.328055629	6.887676087	4.321928095	4.321928095	5.811625117	7.894748307	9.519348638	9.044107596	8.891114293	8.666307534	8.070865085	8.098706251	7.777085911	7.083394392	7.260882134	6.61969299	6.777763635	6.381695262	6.717499892	6.375049758	6.593793489	6.261013017	6.416208173	5.67644156	5.285296024	8.344752965	7.299504279	6.078958952	6.524220825	6.396167198	6.621721417	6.438777874	4.321928095	7.97687602	8.909885256	7.563108013	7.071754731	6.99233338	6.885893368	6.391194752	6.526443035	6.135041869
Ccrn4l	8.3209692	8.12131852	9.076603499	10.23685659	9.78085848	9.858081133	9.661365031	9.224245113	9.258802743	8.829458487	8.834163418	9.015347444	8.722478112	8.848384298	8.769206228	8.718327755	8.815153507	8.543578346	8.451050696	8.582428863	9.158024192	10.14638857	9.99748619	10.06144933	9.936650981	9.582682182	9.56724412	9.404086063	9.336544798	9.335861378	9.690982672	9.350641272	9.546954981	9.198208929	9.737390681	9.66548261	9.486736584	9.256693025	9.434321114	9.410773896	8.497417176	9.967131245	9.794173575	8.971887075	8.894794925	8.895189472	8.955374845	8.875985201	8.627244242	10.01010408	9.995743104	9.390537354	9.393737429	9.839366768	9.72245185	9.641178538	9.55682347	9.431892089
Cd160	5.204475627	5.000337511	5.765865677	7.683479831	7.684468469	7.83856872	7.42846874	7.308994992	6.907730869	6.474270627	6.118193715	5.916305003	5.916339309	6.014770931	5.514135449	5.839127675	5.473951571	5.991478728	5.165171037	4.786039965	5.30305788	5.634322399	5.515387041	5.12894101	5.443076712	5.117688757	4.947325516	4.609856319	4.840139036	4.743251257	4.805130863	4.597293646	5.07599092	4.850638222	4.643878472	4.439656433	4.588305186	4.6730871	4.321928095	4.321928095	4.689789853	7.683875234	7.592033882	6.527707591	6.364777472	6.508047736	5.514463054	5.825435705	4.805474604	5.621316321	5.500202619	4.628705224	4.870259814	4.836852502	4.554962592	4.60244255	4.562437727	4.605621716
Cd1d1	9.461887206	9.317825613	8.835110641	7.372875577	6.085210284	5.70302306	5.812603779	5.106509641	5.253632223	5.420328825	5.43070695	5.93071164	5.623951096	6.00059835	5.860521983	6.125884469	5.652768022	6.324092869	9.522464374	9.408130206	8.993981071	7.51616443	6.568628322	6.236702117	6.734822624	5.407086546	5.178784076	4.895020532	4.565269698	4.883050854	4.770928907	4.917967654	4.564800159	4.879140458	4.935285022	4.97239501	4.876892664	5.041442161	4.510790324	4.82965523	9.220992903	7.658825748	6.054090489	5.228515484	6.243503516	5.775154303	6.088710774	6.167368672	9.424163341	7.505525243	6.229203845	5.077169441	4.813658708	4.703058021	4.913288486	5.095180164	4.459915649	5.008757954
Cd2	12.03856966	12.36199843	12.08692693	11.68526544	10.72558884	10.02002115	10.18588871	10.18085054	9.716097867	10.16477029	10.06549307	10.21767604	9.941855055	10.33794371	9.975858307	10.35286392	9.644177839	10.90537785	12.12089827	12.5391557	12.47991925	12.09348153	11.32118148	10.59936486	10.82265083	10.71845939	10.36366123	10.38376588	10.39063085	10.54205612	11.15952115	11.51936191	11.50906643	11.71707853	11.88451357	12.21308808	11.47623367	11.71433495	11.85501634	12.48961407	12.0528966	11.6953104	10.06414101	9.79712751	10.44324801	10.19964947	10.06176231	10.45783553	12.31778662	12.02507702	10.76888382	10.37566883	10.8260977	11.28971019	11.51520634	11.73717696	11.57555086	11.89185983
Cd274	8.19618511	8.523796924	11.30973471	11.90104767	11.28456752	11.04266046	10.74143227	10.32845453	9.972253454	8.938375816	9.029015819	9.380020381	9.256652756	9.172542953	9.088753424	9.021024917	9.526091034	9.318384421	9.216004309	10.65596543	11.52646816	11.51592704	10.85565278	10.6386939	10.44031943	9.645559493	8.528616903	6.66433562	6.620868255	6.405120605	6.213042657	6.542649697	6.270656865	6.471902827	5.543209133	6.809145507	6.151269138	6.286354101	5.579607845	6.295658528	8.706881037	11.86735809	10.88688895	9.170971289	9.180097866	9.17739912	9.119876706	9.047079934	10.88564894	11.41866591	10.37985296	7.230378605	6.079853414	6.170864415	6.210571682	6.251773081	6.221184253	5.879796126
Cd28	12.2555061	12.4992141	11.73153233	10.09991416	9.136232712	9.305501175	10.15534736	10.22443518	10.30202379	11.08064829	10.49445895	10.04985788	9.758633537	9.776119421	9.46332131	9.585038624	9.680412316	9.69079982	12.23463233	11.47508872	10.50969233	9.51003511	8.806297498	8.800542382	9.699657206	10.40238249	10.76772559	11.31572684	10.72797569	10.36501329	10.74194559	10.73371612	10.72215858	10.84979357	11.09326726	11.05179677	10.86151479	11.04143663	11.47845062	11.44000538	12.30209443	10.10262017	10.10785772	10.76688366	10.44689623	10.00407027	9.513235926	9.683605945	11.65470365	9.611854207	9.604052166	11.07126144	10.82044547	10.55049667	10.67914768	10.94001462	10.92884391	11.51267041
